,Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,indicator_label,indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,Current_Season_Week_Ending_Label,COVID_season,suppression_flag
35,COVID,State,Texas,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,8.7,1.2896,11976,11/15/2025 12:00:00 AM,2025-2026,0
36,COVID,State,Oklahoma,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,7.5,1.327,2579,11/15/2025 12:00:00 AM,2025-2026,0
37,COVID,State,U.S. Virgin Islands,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,47.0,9.155,177,11/15/2025 12:00:00 AM,2025-2026,0
38,COVID,State,Oregon,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,44.5,10.7887,98,11/15/2025 12:00:00 AM,2025-2026,0
39,COVID,State,U.S. Virgin Islands,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,2.5,0.8399999999999999,1912,11/15/2025 12:00:00 AM,2025-2026,0
40,COVID,State,Pennsylvania,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,10.3,2.6925,760,11/15/2025 12:00:00 AM,2025-2026,0
41,COVID,State,U.S. Virgin Islands,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,2.5,0.8399999999999999,1912,11/15/2025 12:00:00 AM,2025-2026,0
42,COVID,State,Puerto Rico,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,34.0,6.0508,347,11/15/2025 12:00:00 AM,2025-2026,0
43,COVID,State,Utah,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,,,23,11/15/2025 12:00:00 AM,2025-2026,1
44,COVID,State,Rhode Island,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,43.2,8.9478,212,11/15/2025 12:00:00 AM,2025-2026,0
45,COVID,State,Utah,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,,,23,11/15/2025 12:00:00 AM,2025-2026,1
46,COVID,State,Texas,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,8.7,1.2896,11976,11/15/2025 12:00:00 AM,2025-2026,0
47,COVID,State,Utah,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,6.3,2.6087,602,11/15/2025 12:00:00 AM,2025-2026,0
48,COVID,State,Utah,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,,,602,11/15/2025 12:00:00 AM,2025-2026,1
49,COVID,State,Virginia,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,7.6,5.5677,112,11/15/2025 12:00:00 AM,2025-2026,0
50,COVID,State,Vermont,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,11.8,4.9747,154,11/15/2025 12:00:00 AM,2025-2026,0
51,COVID,State,Washington,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,13.1,11.9303,41,11/15/2025 12:00:00 AM,2025-2026,0
52,COVID,State,Vermont,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,27.0,7.9043,154,11/15/2025 12:00:00 AM,2025-2026,0
53,COVID,State,Washington,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,18.8,4.7316,1017,11/15/2025 12:00:00 AM,2025-2026,0
54,COVID,State,Virginia,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,39.9,12.5439,112,11/15/2025 12:00:00 AM,2025-2026,0
55,COVID,State,Wisconsin,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,46.3,7.4421,188,11/15/2025 12:00:00 AM,2025-2026,0
56,COVID,State,Virginia,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,38.1,13.6545,112,11/15/2025 12:00:00 AM,2025-2026,0
57,COVID,State,Wisconsin,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,17.0,6.0765,188,11/15/2025 12:00:00 AM,2025-2026,0
58,COVID,State,West Virginia,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,22.8,5.4507,314,11/15/2025 12:00:00 AM,2025-2026,0
59,COVID,State,Wisconsin,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,20.0,6.3226,188,11/15/2025 12:00:00 AM,2025-2026,0
60,COVID,State,West Virginia,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,61.6,6.228,314,11/15/2025 12:00:00 AM,2025-2026,0
61,COVID,State,Wyoming,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,68.0,13.8567,71,11/15/2025 12:00:00 AM,2025-2026,0
62,COVID,State,Wisconsin,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,16.7,2.6416,2449,11/15/2025 12:00:00 AM,2025-2026,0
63,COVID,State,Wisconsin,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,16.7,2.6416,2449,11/15/2025 12:00:00 AM,2025-2026,0
64,COVID,State,Wyoming,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,7.5,6.5897,71,11/15/2025 12:00:00 AM,2025-2026,0
65,COVID,Substate,Illinois-Rest of State,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,14.5,1.9444,3799,11/15/2025 12:00:00 AM,2025-2026,0
66,COVID,State,Wyoming,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,10.1,1.7584,2972,11/15/2025 12:00:00 AM,2025-2026,0
67,COVID,Substate,New York-New York City,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,9.2,2.4213,1275,11/15/2025 12:00:00 AM,2025-2026,0
68,COVID,Substate,Illinois-City of Chicago,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,40.4,6.6327,259,11/15/2025 12:00:00 AM,2025-2026,0
69,COVID,Substate,New York-Rest of State,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,12.6,2.786,1279,11/15/2025 12:00:00 AM,2025-2026,0
70,COVID,Substate,Illinois-City of Chicago,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,18.7,2.5823,3956,11/15/2025 12:00:00 AM,2025-2026,0
71,COVID,Substate,New York-Rest of State,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,12.6,2.786,1279,11/15/2025 12:00:00 AM,2025-2026,0
72,COVID,Substate,Illinois-City of Chicago,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,18.7,2.5823,3956,11/15/2025 12:00:00 AM,2025-2026,0
73,COVID,Substate,Pennsylvania-Philadelphia County,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,38.5,6.2206,344,11/15/2025 12:00:00 AM,2025-2026,0
74,COVID,Substate,Illinois-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,45.3,8.1299,223,11/15/2025 12:00:00 AM,2025-2026,0
75,COVID,Substate,Pennsylvania-Philadelphia County,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,31.2,5.9103,344,11/15/2025 12:00:00 AM,2025-2026,0
76,COVID,Substate,Illinois-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,8.2,4.1215,223,11/15/2025 12:00:00 AM,2025-2026,0
77,COVID,Substate,Pennsylvania-Philadelphia County,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,15.4,2.1724,3749,11/15/2025 12:00:00 AM,2025-2026,0
78,COVID,Substate,Illinois-Rest of State,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,14.5,1.9444,3799,11/15/2025 12:00:00 AM,2025-2026,0
79,COVID,Substate,Pennsylvania-Rest of State,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,18.0,4.2992,416,11/15/2025 12:00:00 AM,2025-2026,0
80,COVID,Substate,New York-New York City,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,9.2,2.4213,1275,11/15/2025 12:00:00 AM,2025-2026,0
81,COVID,Substate,Texas-Bexar County,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,16.7,5.2043,234,11/15/2025 12:00:00 AM,2025-2026,0
82,COVID,Substate,New York-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,48.1,15.8055,83,11/15/2025 12:00:00 AM,2025-2026,0
83,COVID,Substate,Texas-Bexar County,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,11.6,1.9963,3003,11/15/2025 12:00:00 AM,2025-2026,0
84,COVID,Substate,New York-Rest of State,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,25.0,13.9065,83,11/15/2025 12:00:00 AM,2025-2026,0
85,COVID,Substate,Texas-City of Houston,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,40.5,8.9543,139,11/15/2025 12:00:00 AM,2025-2026,0
86,COVID,Substate,Pennsylvania-Philadelphia County,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,15.4,2.1724,3749,11/15/2025 12:00:00 AM,2025-2026,0
87,COVID,Substate,Texas-City of Houston,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,10.5,6.2374,139,11/15/2025 12:00:00 AM,2025-2026,0
88,COVID,Substate,Pennsylvania-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,9.6,2.9844,416,11/15/2025 12:00:00 AM,2025-2026,0
89,COVID,Substate,Texas-City of Houston,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,38.7,8.5923,139,11/15/2025 12:00:00 AM,2025-2026,0
90,COVID,Substate,Texas-Bexar County,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,39.4,7.0133,234,11/15/2025 12:00:00 AM,2025-2026,0
91,COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,11/15/2025 12:00:00 AM,23.7,6.902,280,11/15/2025 12:00:00 AM,2025-2026,0
92,COVID,Substate,Pennsylvania-Rest of State,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,15.6,2.0424,4667,11/15/2025 12:00:00 AM,2025-2026,0
93,COVID,Substate,Texas-Rest of State,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,8.2,1.4689,5795,11/15/2025 12:00:00 AM,2025-2026,0
94,COVID,Substate,Pennsylvania-Rest of State,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,15.6,2.0424,4667,11/15/2025 12:00:00 AM,2025-2026,0
95,COVID,Substate,Texas-Bexar County,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,11.6,1.9963,3003,11/15/2025 12:00:00 AM,2025-2026,0
96,COVID,Substate,Texas-City of Houston,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,10.3,1.9444,3178,11/15/2025 12:00:00 AM,2025-2026,0
97,COVID,Substate,Texas-City of Houston,Overall,18+ years,Up-to-date,Yes,November Week 3,11/15/2025 12:00:00 AM,10.3,1.9444,3178,11/15/2025 12:00:00 AM,2025-2026,0
98,COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,11/15/2025 12:00:00 AM,58.6,7.8194,280,11/15/2025 12:00:00 AM,2025-2026,0
99,COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,11/15/2025 12:00:00 AM,9.6,4.4503,280,11/15/2025 12:00:00 AM,2025-2026,0
100,COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Received a vaccination,November Week 3,11/15/2025 12:00:00 AM,8.2,1.4689,5795,11/15/2025 12:00:00 AM,2025-2026,0
101,COVID,National,National,Age (6 Level),18-29 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/06/2025 12:00:00 AM,48.9,4.7144,1275,12/06/2025 12:00:00 AM,2025-2026,0
102,COVID,National,National,Age (6 Level),18-29 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/06/2025 12:00:00 AM,6.5,0.6668,25999,12/06/2025 12:00:00 AM,2025-2026,0
103,COVID,National,National,Age (6 Level),18-29 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,12/06/2025 12:00:00 AM,32.1,4.5857,1275,12/06/2025 12:00:00 AM,2025-2026,0
104,COVID,National,National,Age (3 Level),18-49 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/06/2025 12:00:00 AM,51.8,3.1885,3627,12/06/2025 12:00:00 AM,2025-2026,0
105,COVID,National,National,Age (6 Level),18-29 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/06/2025 12:00:00 AM,12.5,3.504,1275,12/06/2025 12:00:00 AM,2025-2026,0
106,COVID,National,National,Age (3 Level),18-49 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/06/2025 12:00:00 AM,10.3,2.1177,3627,12/06/2025 12:00:00 AM,2025-2026,0
107,COVID,National,National,Age (6 Level),18-29 years,Up-to-date,Yes,December Week 1,12/06/2025 12:00:00 AM,6.5,0.6668,25999,12/06/2025 12:00:00 AM,2025-2026,0
108,COVID,National,National,Age (3 Level),18-49 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/06/2025 12:00:00 AM,9.0,0.5494,72122,12/06/2025 12:00:00 AM,2025-2026,0
109,COVID,National,National,High-risk (among 18-64 years),High-risk (among 18-64 years),4-level vaccination and intent,Received a vaccination,December Week 1,12/06/2025 12:00:00 AM,20.0,1.3637,19042,12/06/2025 12:00:00 AM,2025-2026,0
110,COVID,National,National,Age (3 Level),18-49 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,12/06/2025 12:00:00 AM,28.9,2.932,3627,12/06/2025 12:00:00 AM,2025-2026,0
111,COVID,National,National,Age (6 Level),30-39 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/06/2025 12:00:00 AM,51.0,5.7244,1163,12/06/2025 12:00:00 AM,2025-2026,0
112,COVID,National,National,High-risk (among 18-64 years),High-risk (among 18-64 years),4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/06/2025 12:00:00 AM,40.9,6.0283,1001,12/06/2025 12:00:00 AM,2025-2026,0
113,COVID,National,National,Age (6 Level),30-39 years,Up-to-date,Yes,December Week 1,12/06/2025 12:00:00 AM,10.1,1.1572,23859,12/06/2025 12:00:00 AM,2025-2026,0
114,COVID,National,National,Age (3 Level),18-49 years,Up-to-date,Yes,December Week 1,12/06/2025 12:00:00 AM,9.0,0.5494,72122,12/06/2025 12:00:00 AM,2025-2026,0
115,COVID,National,National,Age (6 Level),40-49 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/06/2025 12:00:00 AM,7.9,2.8287,1189,12/06/2025 12:00:00 AM,2025-2026,0
116,COVID,National,National,High-risk (among 18-64 years),High-risk (among 18-64 years),4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/06/2025 12:00:00 AM,13.2,3.7136,1001,12/06/2025 12:00:00 AM,2025-2026,0
117,COVID,National,National,Age (6 Level),40-49 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,12/06/2025 12:00:00 AM,25.2,4.8487,1189,12/06/2025 12:00:00 AM,2025-2026,0
118,COVID,National,National,High-risk (among 18-64 years),High-risk (among 18-64 years),4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,12/06/2025 12:00:00 AM,25.9,6.1102,1001,12/06/2025 12:00:00 AM,2025-2026,0
119,COVID,National,National,Age (6 Level),40-49 years,Up-to-date,Yes,December Week 1,12/06/2025 12:00:00 AM,10.8,0.9964,22264,12/06/2025 12:00:00 AM,2025-2026,0
120,COVID,National,National,Age (6 Level),30-39 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,12/06/2025 12:00:00 AM,28.7,5.5279,1163,12/06/2025 12:00:00 AM,2025-2026,0
121,COVID,National,National,Age (3 Level),50-64 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/06/2025 12:00:00 AM,54.1,4.4963,2071,12/06/2025 12:00:00 AM,2025-2026,0
122,COVID,National,National,High-risk (among 18-64 years),High-risk (among 18-64 years),Up-to-date,Yes,December Week 1,12/06/2025 12:00:00 AM,20.0,1.3637,19042,12/06/2025 12:00:00 AM,2025-2026,0
123,COVID,National,National,Age (3 Level),50-64 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/06/2025 12:00:00 AM,9.5,2.761,2071,12/06/2025 12:00:00 AM,2025-2026,0
124,COVID,National,National,Age (6 Level),30-39 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/06/2025 12:00:00 AM,10.1,1.1572,23859,12/06/2025 12:00:00 AM,2025-2026,0
125,COVID,National,National,Age (3 Level),50-64 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/06/2025 12:00:00 AM,14.7,0.9511,41005,12/06/2025 12:00:00 AM,2025-2026,0
126,COVID,National,National,Age (6 Level),30-39 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/06/2025 12:00:00 AM,10.2,4.3298,1163,12/06/2025 12:00:00 AM,2025-2026,0
127,COVID,National,National,Age (1 Level),60+ years,4-level vaccination and intent,Received a vaccination,December Week 1,12/06/2025 12:00:00 AM,26.7,1.0123,66912,12/06/2025 12:00:00 AM,2025-2026,0
128,COVID,National,National,Age (6 Level),40-49 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/06/2025 12:00:00 AM,10.8,0.9964,22264,12/06/2025 12:00:00 AM,2025-2026,0
129,COVID,National,National,Age (1 Level),60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/06/2025 12:00:00 AM,42.9,3.8816,3438,12/06/2025 12:00:00 AM,2025-2026,0
130,COVID,National,National,Age (6 Level),40-49 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/06/2025 12:00:00 AM,56.0,5.795,1189,12/06/2025 12:00:00 AM,2025-2026,0
